DATE,TOC_mg_L,Alk_mg_L
10/14/2023,3,54.2
10/15/2023,3,54.3
10/16/2023,2.9,55.5
10/17/2023,2.9,55.5
10/18/2023,2.8,54
10/19/2023,2.8,53.5
10/20/2023,2.7,53
10/21/2023,2.7,51
10/22/2023,2.6,50.4
10/23/2023,2.5,48.5
10/24/2023,2.5,50
10/25/2023,2.4,50
10/26/2023,2.5,50.5
10/27/2023,2.3,50
10/28/2023,2.4,47
10/29/2023,2.3,47
10/30/2023,2.4,47.3
10/31/2023,2.5,47.5
11/1/2023,2.5,48
11/2/2023,2.5,48.8
11/3/2023,2.5,49.6
11/4/2023,2.6,48.5
11/5/2023,2.5,49
11/6/2023,2.6,49
11/7/2023,2.6,51
11/8/2023,2.5,50.3
11/9/2023,2.5,49.4
11/10/2023,2.5,50.5
11/11/2023,2.6,51
11/12/2023,2.5,50.5
11/13/2023,2.5,50.5
11/14/2023,2.5,51
11/15/2023,2.5,50
11/16/2023,2.5,52.5
11/17/2023,2.5,50.5
11/18/2023,2.4,50
11/19/2023,2.5,50.9
11/20/2023,2.5,51.5
11/21/2023,2.4,50
11/22/2023,2.4,50
11/23/2023,2.4,50.5
11/24/2023,2.4,54.5
11/25/2023,2.4,49.5
11/26/2023,2.5,51.5
11/27/2023,2.5,53.5
11/28/2023,2.6,55.5
11/29/2023,2.5,56.5
11/30/2023,2.6,56.5
12/1/2023,2.5,59.2
12/2/2023,2.6,56.5
12/3/2023,2.6,57.5
12/4/2023,2.6,57.5
12/5/2023,2.5,57
12/6/2023,2.4,56.5
12/7/2023,2.5,57.5
12/8/2023,2.5,59
12/9/2023,2.4,58
12/10/2023,2.4,57.5
12/11/2023,2.4,57
12/12/2023,2.3,57
12/13/2023,2.3,55.5
12/14/2023,2.3,56
12/15/2023,2.3,55.5
12/16/2023,2.4,55
12/17/2023,2.3,58.5
12/18/2023,2.2,56.5
12/19/2023,2.3,59.2
12/20/2023,2.3,58.2
12/21/2023,2.3,58
12/22/2023,2.4,58.5
12/23/2023,2.4,58.8
12/24/2023,2.3,57
12/25/2023,2.4,58.6
12/26/2023,2.4,58
12/27/2023,2.5,59.5
12/28/2023,2.7,65
12/29/2023,2.2,58.5
12/30/2023,2.4,60.5
12/31/2023,2.4,61.5
4/1/2024,2.6,67
4/2/2024,2.75,65.5
4/3/2024,2.7,68.4
4/4/2024,2.7,64
4/5/2024,2.8,64.5
4/6/2024,2.8,64.9
4/7/2024,2.8,66.2
4/8/2024,2.8,65
4/9/2024,2.8,74.5
4/10/2024,2.9,76.5
4/11/2024,3,76.2
4/12/2024,3,78.1
4/13/2024,3,77.5
4/14/2024,3,78
4/15/2024,3.1,66
4/16/2024,3.1,64
4/17/2024,3.2,65.5
4/18/2024,3.1,64
4/19/2024,3.2,62.8
4/20/2024,3.3,62
4/21/2024,3.2,61
4/22/2024,3.2,60.5
4/23/2024,3.3,60.5
4/24/2024,3.2,60.5
4/25/2024,3.2,59
4/26/2024,3.2,57.5
4/27/2024,3.3,58
4/28/2024,3.2,57.5
4/29/2024,3.3,54.5
4/30/2024,3.4,53
5/1/2024,3.2,47.5
5/2/2024,3.4,44
5/3/2024,3.5,44.5
5/4/2024,3.5,46.6
5/5/2024,3.7,49.8
5/6/2024,3.7,51.7
5/7/2024,3.7,55.75
5/8/2024,3.7,55.5
5/9/2024,3.5,58.2
5/10/2024,3.5,58.9
5/11/2024,3.5,60.5
5/12/2024,3.6,60.5
5/13/2024,3.5,61
5/14/2024,3.5,61.5
5/15/2024,3.9,61
5/16/2024,4.8,58
5/17/2024,5.3,55.5
5/18/2024,6.4,56
5/19/2024,5.5,56
5/20/2024,5.6,54.5
5/21/2024,5.1,55
5/22/2024,5.2,54.5
5/23/2024,5,53.5
5/24/2024,4.9,53
5/25/2024,4.9,51.5
5/26/2024,4.8,54
5/27/2024,4.8,52
5/28/2024,4.6,49
5/29/2024,4.6,52
5/30/2024,4.5,50
5/31/2024,4.6,50
6/1/2024,4.5,45.9
6/2/2024,4.6,49.8
6/3/2024,4.5,47.7
6/4/2024,4.5,49.5
6/5/2024,4.5,50.5
6/6/2024,4.4,49.8
6/7/2024,4.4,50.8
6/8/2024,4.4,49
6/9/2024,4.5,48
6/10/2024,4.4,46.5
6/11/2024,4.5,45.3
6/12/2024,4.5,48
6/13/2024,4.5,50
6/14/2024,4.4,49.5
6/15/2024,4.3,52.5
6/16/2024,4.2,54
6/17/2024,4.1,54.5
6/18/2024,4,59
6/19/2024,4,57.4
6/20/2024,4.1,57.5
6/21/2024,4.1,59.5
6/22/2024,4.1,57.5
6/23/2024,4.2,60
6/24/2024,4.1,60.5
6/25/2024,4.1,59
6/26/2024,4,58.7
6/27/2024,4,62.4
6/28/2024,3.9,61.6
6/29/2024,3.9,62.5
6/30/2024,3.8,65.5
7/1/2024,3.7,63
7/2/2024,3.6,63.1
7/3/2024,3.5,65.6
7/4/2024,3.5,64.2
7/5/2024,3.4,66.5
7/6/2024,3.3,67
7/7/2024,3.2,63.5
7/8/2024,3.2,64.5
7/9/2024,3.2,64.5
7/10/2024,3.2,66.6
7/11/2024,3.3,64
7/12/2024,3.2,67
7/13/2024,3.2,65.5
7/14/2024,3.3,65.5
7/15/2024,3.3,63.5
7/16/2024,3.2,70.4
7/17/2024,3.2,67
7/18/2024,3.1,62.5
7/19/2024,3,63
7/20/2024,3.3,60
7/21/2024,3.1,53.5
7/22/2024,3,52.5
7/23/2024,2.9,51
7/24/2024,2.9,52.2
7/25/2024,2.9,49
7/26/2024,2.9,50
7/27/2024,2.8,48.2
